Source IP,Destination IP,Source Port,Destination Port,Packet Count,Byte Count,Protocol
194.226.130.228,10.0.2.15,443,57050,6,3268,TCP
10.0.2.15,194.226.130.228,57050,443,6,1006,TCP
87.240.129.132,10.0.2.15,443,37506,13,4637,TCP
10.0.2.15,87.240.129.132,37506,443,13,4310,TCP
172.217.16.196,10.0.2.15,443,46198,15,2560,TCP
10.0.2.15,172.217.16.196,46198,443,15,3484,TCP
216.58.206.74,10.0.2.15,443,52644,13,2204,TCP
10.0.2.15,216.58.206.74,52644,443,14,2844,TCP
104.18.20.226,10.0.2.15,80,59058,4,2136,TCP
10.0.2.15,104.18.20.226,59058,80,5,743,TCP
217.20.156.165,10.0.2.15,443,55840,12,6267,TCP
10.0.2.15,217.20.156.165,55840,443,13,1678,TCP
217.20.156.165,10.0.2.15,443,55836,16,7393,TCP
10.0.2.15,217.20.156.165,55836,443,16,2669,TCP
95.163.52.67,10.0.2.15,443,44084,14,4236,TCP
10.0.2.15,95.163.52.67,44084,443,14,3387,TCP
95.213.56.2,10.0.2.15,443,32980,6,398,TCP
10.0.2.15,95.213.56.2,32980,443,4,270,TCP
10.0.2.15,93.186.237.16,45810,443,9,989,TCP
93.186.237.16,10.0.2.15,443,45810,10,1406,TCP
10.0.2.15,172.64.41.4,36826,443,149,20710,TCP
172.64.41.4,10.0.2.15,443,36826,152,43671,TCP
10.0.2.15,95.142.206.3,57520,443,289,22624,TCP
95.142.206.3,10.0.2.15,443,57520,410,1469367,TCP
10.0.2.15,87.240.129.133,54498,443,219,29932,TCP
87.240.129.133,10.0.2.15,443,54498,234,524906,TCP
87.240.137.208,10.0.2.15,443,38704,13,4789,TCP
10.0.2.15,87.240.137.208,38704,443,13,3246,TCP
172.64.41.4,10.0.2.15,443,56320,92,24493,TCP
10.0.2.15,172.64.41.4,56320,443,91,12537,TCP
10.0.2.15,93.186.237.1,48076,443,10,1656,TCP
93.186.237.1,10.0.2.15,443,48076,10,4020,TCP
34.120.208.123,10.0.2.15,443,40136,29,7325,TCP
10.0.2.15,34.120.208.123,40136,443,26,7301,TCP
95.142.206.3,10.0.2.15,443,57534,967,3350739,TCP
87.240.190.90,10.0.2.15,443,53040,7,1121,TCP
10.0.2.15,87.240.190.90,53040,443,8,1734,TCP
10.0.2.15,95.142.206.3,57534,443,567,49104,TCP
10.0.2.15,95.163.52.67,44090,443,12,1640,TCP
95.163.52.67,10.0.2.15,443,44090,11,5279,TCP
5.61.238.3,10.0.2.15,443,59758,13,6214,TCP
10.0.2.15,5.61.238.3,59758,443,13,1953,TCP
10.0.2.15,104.18.20.226,59056,80,7,1304,TCP
104.18.20.226,10.0.2.15,80,59056,6,3663,TCP
10.0.2.15,87.240.190.90,53056,443,8,2808,TCP
87.240.190.90,10.0.2.15,443,53056,7,1121,TCP
10.0.2.15,95.142.206.1,33430,443,14,2253,TCP
95.142.206.1,10.0.2.15,443,33430,14,9761,TCP
