IP Address,Received Packets,Received Bytes,Sent Packets,Sent Bytes
194.226.130.228,6,1006,6,3268
10.0.2.15,2074,5490974,1535,180182
87.240.129.132,13,4310,13,4637
172.217.16.196,15,3484,15,2560
216.58.206.74,14,2844,13,2204
104.18.20.226,12,2047,10,5799
217.20.156.165,29,4347,28,13660
95.163.52.67,26,5027,25,9515
95.213.56.2,4,270,6,398
93.186.237.16,9,989,10,1406
172.64.41.4,240,33247,244,68164
95.142.206.3,856,71728,1377,4820106
87.240.129.133,219,29932,234,524906
87.240.137.208,13,3246,13,4789
93.186.237.1,10,1656,10,4020
34.120.208.123,26,7301,29,7325
87.240.190.90,16,4542,14,2242
5.61.238.3,13,1953,13,6214
95.142.206.1,14,2253,14,9761
