Source IP,Destination IP,Source Port,Destination Port,Packet Count,Byte Count,Protocol
5.187.1.212,192.168.31.22,443,55290,24,17232,TCP
192.168.31.22,5.187.1.212,55290,443,18,5836,TCP
5.187.1.212,192.168.31.22,443,58604,266,726835,TCP
192.168.31.22,5.187.1.212,58604,443,124,12127,TCP
192.168.31.231,192.168.31.255,138,138,1,243,UDP
192.168.31.22,224.0.0.251,5353,5353,1,87,UDP
5.187.1.212,192.168.31.22,443,39584,26,16359,TCP
192.168.31.22,5.187.1.212,39584,443,21,5450,TCP
91.189.91.97,192.168.31.22,80,36656,4,457,TCP
192.168.31.22,91.189.91.97,36656,80,5,426,TCP
192.168.31.22,5.187.1.212,43420,443,8,528,TCP
5.187.1.212,192.168.31.22,443,43420,8,528,TCP
192.168.31.22,5.187.1.212,43402,443,8,528,TCP
5.187.1.212,192.168.31.22,443,43402,8,528,TCP
192.168.31.22,5.187.1.212,43416,443,8,528,TCP
5.187.1.212,192.168.31.22,443,43416,8,528,TCP
192.168.31.22,5.187.1.212,44334,443,10,660,TCP
5.187.1.212,192.168.31.22,443,44334,10,660,TCP
5.187.1.212,192.168.31.22,443,50876,70,8099,TCP
192.168.31.22,5.187.1.212,50876,443,63,57227,TCP
192.168.31.22,5.187.1.212,43386,443,8,528,TCP
5.187.1.212,192.168.31.22,443,43386,8,528,TCP
192.168.31.22,5.187.1.212,60132,443,10,660,TCP
5.187.1.212,192.168.31.22,443,60132,10,660,TCP
5.187.1.212,192.168.31.22,443,55298,25,14158,TCP
192.168.31.22,5.187.1.212,55298,443,19,4979,TCP
192.168.31.22,5.187.1.212,44346,443,10,660,TCP
5.187.1.212,192.168.31.22,443,44346,10,660,TCP
192.168.31.22,5.187.1.212,47002,443,7,514,TCP
5.187.1.212,192.168.31.22,443,47002,8,576,TCP
192.168.31.22,5.187.1.212,42616,443,14,1584,TCP
5.187.1.212,192.168.31.22,443,42616,17,2232,TCP
192.168.31.22,5.187.1.212,43370,443,8,528,TCP
5.187.1.212,192.168.31.22,443,43370,8,528,TCP
192.168.31.22,5.187.1.212,40134,443,10,660,TCP
5.187.1.212,192.168.31.22,443,40134,10,660,TCP
5.187.1.212,192.168.31.22,443,44120,10,660,TCP
192.168.31.22,5.187.1.212,44120,443,10,684,TCP
192.168.31.22,5.187.1.212,48960,443,21,12576,TCP
5.187.1.212,192.168.31.22,443,48960,24,3657,TCP
5.187.1.212,192.168.31.22,443,49702,20,2000,TCP
192.168.31.22,5.187.1.212,49702,443,16,2198,TCP
5.187.1.212,192.168.31.22,443,42622,10,660,TCP
192.168.31.22,5.187.1.212,42622,443,10,660,TCP
5.187.1.212,192.168.31.22,443,38288,24,4331,TCP
192.168.31.22,5.187.1.212,38288,443,18,7315,TCP
5.187.1.212,192.168.31.22,443,52930,10,660,TCP
192.168.31.22,5.187.1.212,52930,443,10,660,TCP
192.168.31.22,5.187.1.212,46920,443,17,7476,TCP
5.187.1.212,192.168.31.22,443,46920,19,4222,TCP
192.168.31.22,5.187.1.212,54012,443,30,5944,TCP
5.187.1.212,192.168.31.22,443,54012,38,9365,TCP
192.168.31.22,5.187.1.212,60126,443,5,330,TCP
5.187.1.212,192.168.31.22,443,60126,4,300,TCP
192.168.31.22,5.187.1.212,33108,443,4,276,TCP
5.187.1.212,192.168.31.22,443,33108,5,415,TCP
192.168.31.64,224.0.0.251,5353,5353,79,16774,UDP
192.168.31.22,5.187.1.212,34956,443,12,1068,TCP
5.187.1.212,192.168.31.22,443,34956,16,1459,TCP
192.168.31.22,5.187.1.212,56422,443,11,750,TCP
5.187.1.212,192.168.31.22,443,56422,11,726,TCP
5.187.1.212,192.168.31.22,443,33124,12,1155,TCP
192.168.31.22,5.187.1.212,33124,443,12,2585,TCP
5.187.1.212,192.168.31.22,443,52942,10,660,TCP
192.168.31.22,5.187.1.212,52942,443,10,660,TCP
5.187.1.212,192.168.31.22,443,47444,11,1383,TCP
192.168.31.22,5.187.1.212,47444,443,10,868,TCP
192.168.31.22,5.187.1.212,43418,443,8,552,TCP
5.187.1.212,192.168.31.22,443,43418,8,635,TCP
192.168.31.22,5.187.1.212,60160,443,4,264,TCP
5.187.1.212,192.168.31.22,443,60160,4,288,TCP
192.168.31.22,5.187.1.212,52840,443,25,5456,TCP
5.187.1.212,192.168.31.22,443,52840,30,13813,TCP
5.187.1.212,192.168.31.22,443,43354,8,528,TCP
192.168.31.22,5.187.1.212,43354,443,8,528,TCP
5.187.1.212,192.168.31.22,443,44322,8,528,TCP
192.168.31.22,5.187.1.212,44322,443,8,528,TCP
5.187.1.212,192.168.31.22,443,38272,20,18789,TCP
192.168.31.22,5.187.1.212,38272,443,20,7365,TCP
5.187.1.212,192.168.31.22,443,40342,14,1202,TCP
192.168.31.22,5.187.1.212,40342,443,11,1138,TCP
192.168.31.22,5.187.1.212,38020,443,8,528,TCP
5.187.1.212,192.168.31.22,443,38020,8,528,TCP
192.168.31.22,5.187.1.212,42332,443,12,1841,TCP
5.187.1.212,192.168.31.22,443,43348,9,679,TCP
192.168.31.22,5.187.1.212,43348,443,8,552,TCP
5.187.1.212,192.168.31.22,443,42332,12,2209,TCP
